timestamp,runtime_sec,total_biomass,t0,t1,t2,t3,t4,deep_archive,lambda,phi_diff
2026-02-11T00:16:17+01:00,1220,523504,353859,169645,0,0,0,0,0.840924,1.1386
2026-02-11T00:16:22+01:00,1225,525504,353860,171644,0,0,0,0,0.839872,1.1330
2026-02-11T00:16:27+01:00,1230,527505,353816,173689,0,0,0,0,0.840626,1.1271
2026-02-11T00:16:32+01:00,1235,529505,353864,175641,0,0,0,0,0.839733,1.1217
2026-02-11T00:16:37+01:00,1240,531504,353832,177672,0,0,0,0,0.840308,1.1159
2026-02-11T00:16:42+01:00,1245,533505,353858,179647,0,0,0,0,0.841187,1.1104
2026-02-11T00:16:47+01:00,1250,535505,353851,181654,0,0,0,0,0.839683,1.1047
2026-02-11T00:16:52+01:00,1255,537501,353938,183563,0,0,0,0,0.836388,1.0994
2026-02-11T00:16:57+01:00,1260,539505,353869,185636,0,0,0,0,0.838826,1.0934
2026-02-11T00:17:02+01:00,1265,541504,353868,187636,0,0,0,0,0.841944,1.0878
2026-02-11T00:17:07+01:00,1270,543504,353885,189619,0,0,0,0,0.840930,1.0822
2026-02-11T00:17:12+01:00,1275,545505,353915,191590,0,0,0,0,0.839120,1.0767
2026-02-11T00:17:17+01:00,1280,547505,353930,193575,0,0,0,0,0.837957,1.0711
2026-02-11T00:17:22+01:00,1285,549505,353922,195583,0,0,0,0,0.839094,1.0654
2026-02-11T00:17:27+01:00,1290,551504,353925,197579,0,0,0,0,0.840812,1.0598
2026-02-11T00:17:32+01:00,1295,553505,354016,199489,0,0,0,0,0.839491,1.0545
2026-02-11T00:17:37+01:00,1300,555505,353936,201569,0,0,0,0,0.838626,1.0485
2026-02-11T00:17:42+01:00,1305,557506,353980,203526,0,0,0,0,0.840522,1.0431
2026-02-11T00:17:47+01:00,1310,559505,353995,205510,0,0,0,0,0.837737,1.0375
2026-02-11T00:17:52+01:00,1315,561506,353996,207510,0,0,0,0,0.840662,1.0318
2026-02-11T00:17:57+01:00,1320,563505,353991,209514,0,0,0,0,0.840863,1.0262
2026-02-11T00:18:02+01:00,1325,565504,353982,211522,0,0,0,0,0.838173,1.0205
2026-02-11T00:18:07+01:00,1330,567505,354103,213402,0,0,0,0,0.837046,1.0154
2026-02-11T00:18:12+01:00,1335,569505,353961,215544,0,0,0,0,0.837931,1.0091
2026-02-11T00:18:17+01:00,1340,571505,353948,217557,0,0,0,0,0.840373,1.0034
2026-02-11T00:18:22+01:00,1345,573504,353954,219550,0,0,0,0,0.835987,0.9978
2026-02-11T00:18:27+01:00,1350,575505,353938,221567,0,0,0,0,0.840252,0.9920
2026-02-11T00:18:32+01:00,1355,577505,353950,223555,0,0,0,0,0.837510,0.9864
2026-02-11T00:18:37+01:00,1360,579505,353955,225550,0,0,0,0,0.841231,0.9808
2026-02-11T00:18:42+01:00,1365,581504,353987,227517,0,0,0,0,0.837400,0.9753
